episode_id,same_time_same_jpeg_duplicate_count,jpeg_hash_reused_at_different_times,same_time_group_count
L2RAR2_R25_FACTORIAL_01_898001__R25C5_secondary_loss_rearm__F1_S0_FUSION_ONLY,11,2,11
L2RAR2_R25_FACTORIAL_01_898001__R25C5_secondary_loss_rearm__F1_S1_FUSION_SUPERVISOR,18,4,18
L2RAR2_R25_FACTORIAL_01_898001__R25C6_partial_slip_control__F0_S0_CLP3_BASELINE,9,2,9
L2RAR2_R25_FACTORIAL_01_898001__R25C6_partial_slip_control__F0_S1_SUPERVISOR_ONLY,9,2,9
L2RAR2_R25_FACTORIAL_01_898001__R25C6_partial_slip_control__F1_S0_FUSION_ONLY,9,2,9
L2RAR2_R25_FACTORIAL_01_898001__R25C6_partial_slip_control__F1_S1_FUSION_SUPERVISOR,9,2,9
L2RAR2_R25_FACTORIAL_01_898001__R25C7_commanded_release_control__F0_S0_CLP3_BASELINE,4,0,4
L2RAR2_R25_FACTORIAL_01_898001__R25C7_commanded_release_control__F0_S1_SUPERVISOR_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_01_898001__R25C7_commanded_release_control__F1_S0_FUSION_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_01_898001__R25C7_commanded_release_control__F1_S1_FUSION_SUPERVISOR,4,0,4
L2RAR2_R25_FACTORIAL_02_898002__R25C1_contact_absence_edge_missing__F0_S0_CLP3_BASELINE,4,2,4
L2RAR2_R25_FACTORIAL_02_898002__R25C1_contact_absence_edge_missing__F0_S1_SUPERVISOR_ONLY,4,2,4
L2RAR2_R25_FACTORIAL_02_898002__R25C1_contact_absence_edge_missing__F1_S0_FUSION_ONLY,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C1_contact_absence_edge_missing__F1_S1_FUSION_SUPERVISOR,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C2_rgb_detach_contact_masked__F0_S0_CLP3_BASELINE,4,2,4
L2RAR2_R25_FACTORIAL_02_898002__R25C2_rgb_detach_contact_masked__F0_S1_SUPERVISOR_ONLY,4,2,4
L2RAR2_R25_FACTORIAL_02_898002__R25C2_rgb_detach_contact_masked__F1_S0_FUSION_ONLY,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C2_rgb_detach_contact_masked__F1_S1_FUSION_SUPERVISOR,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C3_transient_relocation_error__F0_S0_CLP3_BASELINE,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C3_transient_relocation_error__F0_S1_SUPERVISOR_ONLY,3,6,3
L2RAR2_R25_FACTORIAL_02_898002__R25C3_transient_relocation_error__F1_S0_FUSION_ONLY,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C3_transient_relocation_error__F1_S1_FUSION_SUPERVISOR,3,6,3
L2RAR2_R25_FACTORIAL_02_898002__R25C4_goal_verification_retry__F0_S0_CLP3_BASELINE,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C4_goal_verification_retry__F0_S1_SUPERVISOR_ONLY,3,6,3
L2RAR2_R25_FACTORIAL_02_898002__R25C4_goal_verification_retry__F1_S0_FUSION_ONLY,3,2,3
L2RAR2_R25_FACTORIAL_02_898002__R25C4_goal_verification_retry__F1_S1_FUSION_SUPERVISOR,3,6,3
L2RAR2_R25_FACTORIAL_02_898002__R25C5_secondary_loss_rearm__F0_S0_CLP3_BASELINE,3,4,3
L2RAR2_R25_FACTORIAL_02_898002__R25C5_secondary_loss_rearm__F0_S1_SUPERVISOR_ONLY,3,4,3
L2RAR2_R25_FACTORIAL_02_898002__R25C5_secondary_loss_rearm__F1_S0_FUSION_ONLY,3,4,3
L2RAR2_R25_FACTORIAL_02_898002__R25C5_secondary_loss_rearm__F1_S1_FUSION_SUPERVISOR,3,7,3
L2RAR2_R25_FACTORIAL_02_898002__R25C6_partial_slip_control__F0_S0_CLP3_BASELINE,9,4,9
L2RAR2_R25_FACTORIAL_02_898002__R25C6_partial_slip_control__F0_S1_SUPERVISOR_ONLY,9,4,9
L2RAR2_R25_FACTORIAL_02_898002__R25C6_partial_slip_control__F1_S0_FUSION_ONLY,9,4,9
L2RAR2_R25_FACTORIAL_02_898002__R25C6_partial_slip_control__F1_S1_FUSION_SUPERVISOR,9,4,9
L2RAR2_R25_FACTORIAL_02_898002__R25C7_commanded_release_control__F0_S0_CLP3_BASELINE,4,1,4
L2RAR2_R25_FACTORIAL_02_898002__R25C7_commanded_release_control__F0_S1_SUPERVISOR_ONLY,4,1,4
L2RAR2_R25_FACTORIAL_02_898002__R25C7_commanded_release_control__F1_S0_FUSION_ONLY,4,1,4
L2RAR2_R25_FACTORIAL_02_898002__R25C7_commanded_release_control__F1_S1_FUSION_SUPERVISOR,4,1,4
L2RAR2_R25_FACTORIAL_03_898003__R25C1_contact_absence_edge_missing__F0_S0_CLP3_BASELINE,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C1_contact_absence_edge_missing__F0_S1_SUPERVISOR_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C1_contact_absence_edge_missing__F1_S0_FUSION_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C1_contact_absence_edge_missing__F1_S1_FUSION_SUPERVISOR,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C2_rgb_detach_contact_masked__F0_S0_CLP3_BASELINE,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C2_rgb_detach_contact_masked__F0_S1_SUPERVISOR_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C2_rgb_detach_contact_masked__F1_S0_FUSION_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C2_rgb_detach_contact_masked__F1_S1_FUSION_SUPERVISOR,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C3_transient_relocation_error__F0_S0_CLP3_BASELINE,6,0,6
L2RAR2_R25_FACTORIAL_03_898003__R25C3_transient_relocation_error__F0_S1_SUPERVISOR_ONLY,13,1,13
L2RAR2_R25_FACTORIAL_03_898003__R25C3_transient_relocation_error__F1_S0_FUSION_ONLY,6,0,6
L2RAR2_R25_FACTORIAL_03_898003__R25C3_transient_relocation_error__F1_S1_FUSION_SUPERVISOR,20,2,20
L2RAR2_R25_FACTORIAL_03_898003__R25C4_goal_verification_retry__F0_S0_CLP3_BASELINE,11,2,11
L2RAR2_R25_FACTORIAL_03_898003__R25C4_goal_verification_retry__F0_S1_SUPERVISOR_ONLY,18,4,18
L2RAR2_R25_FACTORIAL_03_898003__R25C4_goal_verification_retry__F1_S0_FUSION_ONLY,11,2,11
L2RAR2_R25_FACTORIAL_03_898003__R25C4_goal_verification_retry__F1_S1_FUSION_SUPERVISOR,18,4,18
L2RAR2_R25_FACTORIAL_03_898003__R25C5_secondary_loss_rearm__F0_S0_CLP3_BASELINE,11,2,11
L2RAR2_R25_FACTORIAL_03_898003__R25C5_secondary_loss_rearm__F0_S1_SUPERVISOR_ONLY,18,3,18
L2RAR2_R25_FACTORIAL_03_898003__R25C5_secondary_loss_rearm__F1_S0_FUSION_ONLY,11,2,11
L2RAR2_R25_FACTORIAL_03_898003__R25C5_secondary_loss_rearm__F1_S1_FUSION_SUPERVISOR,18,3,18
L2RAR2_R25_FACTORIAL_03_898003__R25C6_partial_slip_control__F0_S0_CLP3_BASELINE,9,4,9
L2RAR2_R25_FACTORIAL_03_898003__R25C6_partial_slip_control__F0_S1_SUPERVISOR_ONLY,9,4,9
L2RAR2_R25_FACTORIAL_03_898003__R25C6_partial_slip_control__F1_S0_FUSION_ONLY,9,4,9
L2RAR2_R25_FACTORIAL_03_898003__R25C6_partial_slip_control__F1_S1_FUSION_SUPERVISOR,9,4,9
L2RAR2_R25_FACTORIAL_03_898003__R25C7_commanded_release_control__F0_S0_CLP3_BASELINE,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C7_commanded_release_control__F0_S1_SUPERVISOR_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C7_commanded_release_control__F1_S0_FUSION_ONLY,4,0,4
L2RAR2_R25_FACTORIAL_03_898003__R25C7_commanded_release_control__F1_S1_FUSION_SUPERVISOR,4,0,4
