logical_path	original_path	original_filename	size_bytes	sha256	artifact_type	purpose	reason_omitted	recovery_method
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_06_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_06_00_220701/rollout_01	rollout_01	107250	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_07_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_07_00_220701/rollout_00	rollout_00	109879	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_07_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_07_00_220701/rollout_01	rollout_01	109879	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_00	rollout_00	103922	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_01	rollout_01	103922	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_02	rollout_02	103922	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_00_220710/rollout_03	rollout_03	103922	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_00	rollout_00	103149	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_01	rollout_01	103149	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_02	rollout_02	103149	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_01_220710/rollout_03	rollout_03	103149	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_00	rollout_00	104287	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_01	rollout_01	104287	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_02	rollout_02	104287	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_02_220710/rollout_03	rollout_03	104287	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_00	rollout_00	104608	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_01	rollout_01	104608	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_02	rollout_02	104608	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_03_220710/rollout_03	rollout_03	104608	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_00	rollout_00	104668	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_01	rollout_01	104668	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_02	rollout_02	104668	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_04_220710/rollout_03	rollout_03	104668	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_00	rollout_00	103987	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_01	rollout_01	103987	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_02	rollout_02	103987	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_00_05_220710/rollout_03	rollout_03	103987	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_00	rollout_00	60872	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_01	rollout_01	60872	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_02	rollout_02	60872	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_00_220710/rollout_03	rollout_03	60872	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_00	rollout_00	60279	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_01	rollout_01	60279	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_02	rollout_02	60279	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_01_220710/rollout_03	rollout_03	60279	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_00	rollout_00	61415	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_01	rollout_01	61415	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_02	rollout_02	61415	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_03	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_02_220710/rollout_03	rollout_03	61415	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_03_220710/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_03_220710/rollout_00	rollout_00	60458	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_03_220710/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_03_220710/rollout_01	rollout_01	60458	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_03_220710/rollout_02	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/development/L2D_01_03_220710/rollout_02	rollout_02	60458	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
